doctor,group,config,soft_labels,include_paths,include_auto,syn_cap,include_hier,n_hier_pairs,test_accuracy,test_auc
fm_1,family_medicine,hard_noPath_auto_syn0_noHier,False,False,True,0,False,0,0.755,0.8253750000000001
fm_1,family_medicine,hard_noPath_auto_syn0_hier,False,False,True,0,True,18,0.76,0.8391
fm_1,family_medicine,hard_noPath_auto_syn5_noHier,False,False,True,5,False,0,0.73,0.8008000000000001
fm_1,family_medicine,hard_noPath_auto_syn5_hier,False,False,True,5,True,18,0.71,0.8142000000000001
fm_1,family_medicine,hard_noPath_auto_syn10_noHier,False,False,True,10,False,0,0.735,0.8179249999999999
fm_1,family_medicine,hard_noPath_auto_syn10_hier,False,False,True,10,True,18,0.74,0.8185499999999998
fm_1,family_medicine,hard_noPath_noAuto_syn0_noHier,False,False,False,0,False,0,0.705,0.8014249999999999
fm_1,family_medicine,hard_noPath_noAuto_syn0_hier,False,False,False,0,True,18,0.71,0.8098
fm_1,family_medicine,hard_noPath_noAuto_syn5_noHier,False,False,False,5,False,0,0.74,0.82115
fm_1,family_medicine,hard_noPath_noAuto_syn5_hier,False,False,False,5,True,18,0.755,0.841225
fm_1,family_medicine,hard_noPath_noAuto_syn10_noHier,False,False,False,10,False,0,0.73,0.8088
fm_1,family_medicine,hard_noPath_noAuto_syn10_hier,False,False,False,10,True,18,0.75,0.7965
fm_1,family_medicine,hard_path_auto_syn0_noHier,False,True,True,0,False,0,0.795,0.8555249999999999
fm_1,family_medicine,hard_path_auto_syn0_hier,False,True,True,0,True,18,0.79,0.8640499999999999
fm_1,family_medicine,hard_path_auto_syn5_noHier,False,True,True,5,False,0,0.75,0.8471
fm_1,family_medicine,hard_path_auto_syn5_hier,False,True,True,5,True,18,0.74,0.8352999999999999
fm_1,family_medicine,hard_path_auto_syn10_noHier,False,True,True,10,False,0,0.715,0.8140750000000001
fm_1,family_medicine,hard_path_auto_syn10_hier,False,True,True,10,True,18,0.725,0.8185250000000001
fm_1,family_medicine,hard_path_noAuto_syn0_noHier,False,True,False,0,False,0,0.745,0.828625
fm_1,family_medicine,hard_path_noAuto_syn0_hier,False,True,False,0,True,18,0.765,0.843225
fm_1,family_medicine,hard_path_noAuto_syn5_noHier,False,True,False,5,False,0,0.73,0.8282499999999999
fm_1,family_medicine,hard_path_noAuto_syn5_hier,False,True,False,5,True,18,0.77,0.8496999999999999
fm_1,family_medicine,hard_path_noAuto_syn10_noHier,False,True,False,10,False,0,0.77,0.83415
fm_1,family_medicine,hard_path_noAuto_syn10_hier,False,True,False,10,True,18,0.755,0.830425
fm_1,family_medicine,soft_noPath_auto_syn0_noHier,True,False,True,0,False,0,0.68,0.7785
fm_1,family_medicine,soft_noPath_auto_syn0_hier,True,False,True,0,True,18,0.695,0.7894249999999999
fm_1,family_medicine,soft_noPath_auto_syn5_noHier,True,False,True,5,False,0,0.69,0.78105
fm_1,family_medicine,soft_noPath_auto_syn5_hier,True,False,True,5,True,18,0.695,0.7860250000000001
fm_1,family_medicine,soft_noPath_auto_syn10_noHier,True,False,True,10,False,0,0.695,0.7716749999999999
fm_1,family_medicine,soft_noPath_auto_syn10_hier,True,False,True,10,True,18,0.71,0.76835
fm_1,family_medicine,soft_noPath_noAuto_syn0_noHier,True,False,False,0,False,0,0.705,0.809675
fm_1,family_medicine,soft_noPath_noAuto_syn0_hier,True,False,False,0,True,18,0.715,0.822175
fm_1,family_medicine,soft_noPath_noAuto_syn5_noHier,True,False,False,5,False,0,0.74,0.8343499999999999
