doctor,entity_type,group,Beneficence-Immediate,Beneficence-LongTerm,Non-maleficence,Autonomy,Justice
fm_1,human,family_medicine,0.32557302544545,-1.3561384327228034,-0.4748520662165974,-1.2671983842507446,0.2756321234757312
fm_2,human,family_medicine,0.5616072997803023,-1.0715253229976591,1.779088132882541,1.4617443456320394,0.8256694943187304
fm_3,human,family_medicine,0.7357447499548689,-1.5390291559978522,1.2377980955257284,1.1693505414516907,1.3290398550596592
fm_4,human,family_medicine,2.1238430837850983,-1.4266817781504646,-1.5951203243760863,-0.2629209279599958,2.676293063060389
fm_5,human,family_medicine,1.9902563278710903,0.4668229236562743,1.0060274400302256,-1.5145293125022163,1.6511321418390963
ph_1,human,public_health,0.6625367925698049,-1.2039512053325656,0.3020999643884118,0.5612513443683743,0.9828981444647952
ph_2,human,public_health,1.0519470256848504,-1.158863679600051,0.11483529579978301,1.399839029043746,0.3979014086057555
ph_3,human,public_health,1.0023857683605242,-1.3256777724852191,-0.950513888663936,-0.6218263533100533,1.3931937284674722
ph_4,human,public_health,1.896475049951744,-0.9796061602162164,-0.05661930309171259,-1.07465946725825,0.7360752244967563
ph_5,human,public_health,0.561051646500013,-0.6312013803379699,1.9955606194885973,-1.3604755318111437,-0.3517731547304937
doctor8,llm_legacy,llm_legacy,-0.6183607052759234,0.8361420977512078,-1.320056570404874,0.3024350574703248,-0.645563147547715
doctor9,llm_legacy,llm_legacy,-0.993487983064692,0.4102426202629399,-0.5465733100292519,-0.23909320204938903,-0.6269135575654138
doctor10,llm_legacy,llm_legacy,-0.127082306702044,-0.2478789839830897,-0.58104241490899,-0.010936389478767421,0.3240485047408262
claude_opus_4_7,llm_new,llm_new,-0.6344138009723559,0.6561919089478979,-0.5925946244553899,0.5926969909431744,-0.5442529901738274
gpt_5,llm_new,llm_new,-1.6034528738078366,1.68458013672205,-0.2600159334579101,-0.025377613963912922,-1.1842261260285478
gemini_2_5_pro,llm_new,llm_new,-0.4538770442767842,-0.07111015059202981,1.5840140797520277,-2.406318368351754,-1.7284686423717606
gemini_3_1_pro,llm_new,llm_new,-0.3721002392013076,-0.1957324208994863,-0.11247712765327808,-0.6291654882430571,-0.9075952799364916
gpt_5_4,llm_new,llm_new,-0.5774613120845964,1.6871602011621822,-1.1922512214047487,-0.05296698323695082,-0.6571715190641029
claude_opus_4_8,llm_new,llm_new,-0.855582522836201,0.5372250333450895,0.3380637248325205,1.2000200439648807,-0.600827083980645
claude_opus_4_5,llm_new,llm_new,-0.7477917308561273,-0.05815001032396671,-0.5710292527934988,0.4303281700135284,-0.2669043697116119
gpt_5_5,llm_new,llm_new,-0.465329313660102,1.1453434487935763,-0.2988673010742535,0.8087036072355797,-0.2446873385798724
gemini_3_5_flash,llm_new,llm_new,0.1132735023415097,0.1634482711227265,1.7030866325998872,-1.0123235654099558,-0.2334446900225562
llama_3_3_70b,llm_new,llm_new,-0.566474119496546,0.9819157286299356,-0.658618237509913,0.7427293560166935,0.0901153745499975
deepseek_v3_2,llm_new,llm_new,-0.6323373778285015,0.4314061763430589,0.6820761389625661,-0.2883491922347748,-0.7563800764814008
qwen3_5_27b,llm_new,llm_new,-1.1730642382758538,0.9750045958814992,-0.389383624496799,1.1767252015531968,-1.0057458807500264
mistral_medium_3_5,llm_new,llm_new,-1.2038787039063847,1.2900633110209352,-1.1426349237250495,0.9203170923677372,-0.9280452061347436
