model,dist,ci_lo,ci_hi,p_within_range,p_closest
Gemini 3.1 Pro,2.362325709156126,1.7310750595213051,3.0892979651618875,0.822,0.459
Gemini 3.5 Flash,2.498463724880484,1.8613254627524332,3.2301655039122315,0.741,0.274
DeepSeek V3.2,2.8683229074762213,2.229755237086889,3.5148224990106978,0.477,0.054
Llama-4 Maverick,2.9166845198687725,2.1226417094094643,3.7068955376058565,0.508,0.124
GPT-5.5,2.9377042118277195,2.3642116492066925,3.616052149539947,0.436,0.008
Qwen3.5 27B,3.156234518548037,2.4927551941463117,3.7958295016944184,0.333,0.01
Gemini 2.5 Pro,3.2878295798031596,2.008919432322793,4.3287224960221,0.357,0.069
GPT-5.4,3.522985839902466,3.0313172918955695,4.077597738050783,0.121,0.0
GPT-5,3.5503198116960504,3.14201401611362,4.253321892049413,0.081,0.0
Mistral Medium 3.5,3.5995859663525933,2.6790429002374307,4.147614214198615,0.182,0.0
Llama 3.3 70B,3.603382350029181,2.7536844298705745,4.249500895225855,0.184,0.002
Claude Opus 4.7,3.6091007520589313,2.811814716789907,4.108160400657474,0.15,0.0
GPT-5-mini,3.6684950987706983,3.147916751583686,4.282834139812408,0.085,0.0
Claude Opus 4.8,3.726946357840871,2.8521955162296737,4.15777670139522,0.134,0.0
Claude Opus 4.5,3.755466761778111,2.819073841818268,4.222703725811057,0.138,0.0
GPT-4o-mini,3.8524074080972843,3.190356500712243,4.442837544536345,0.072,0.0
