model,dist_weighted,within
Gemini 2.5 Pro,2.5015307107715006,True
Gemini 3.1 Pro,2.5036981237193854,True
Gemini 3.5 Flash,2.745845239603185,False
Llama-4 Maverick,2.920260381311036,False
DeepSeek V3.2,3.1981324972708194,False
GPT-5.5,3.2279805710677305,False
Qwen3.5 27B,3.4762027177356356,False
GPT-5.4,3.7763488850599662,False
Llama 3.3 70B,3.7842497889712146,False
GPT-5-mini,3.850269261555339,False
GPT-5,3.8707811649083794,False
Mistral Medium 3.5,3.8911526891208674,False
Claude Opus 4.7,3.9427324520962332,False
GPT-4o-mini,3.9821251312339254,False
Claude Opus 4.8,4.031645400066573,False
Claude Opus 4.5,4.159016191872568,False
